id	name	category	taxon
NCBITaxon:28052	Lachnospira pectinoschiza	biolink:OrganismTaxon	NA
NCBITaxon:384639	Bacteroides galacturonicus	biolink:OrganismTaxon	NA
NCBITaxon:165179	Segatella copri	biolink:OrganismTaxon	NA
NCBITaxon:706562	[Lactobacillus] rogosae	biolink:OrganismTaxon	NA
NCBITaxon:418240	Blautia wexlerae	biolink:OrganismTaxon	NA
NCBITaxon:471189	Gordonibacter pamelaeae	biolink:OrganismTaxon	NA
NCBITaxon:1653434	Sellimonas intestinalis	biolink:OrganismTaxon	NA
NCBITaxon:649756	Anaerostipes hadrus	biolink:OrganismTaxon	NA
NCBITaxon:1547	Thomasclavelia ramosa	biolink:OrganismTaxon	NA
NCBITaxon:1502	Clostridium perfringens	biolink:OrganismTaxon	NA
NCBITaxon:113107	Streptococcus australis	biolink:OrganismTaxon	NA
NCBITaxon:1550024	Ruthenibacterium lactatiformans	biolink:OrganismTaxon	NA
NCBITaxon:1308	Streptococcus thermophilus	biolink:OrganismTaxon	NA
NCBITaxon:154046	Hungatella hathewayi	biolink:OrganismTaxon	NA
NCBITaxon:360807	Roseburia inulinivorans	biolink:OrganismTaxon	NA
NCBITaxon:84112	Eggerthella lenta	biolink:OrganismTaxon	NA
NCBITaxon:1522	[Clostridium] innocuum	biolink:OrganismTaxon	NA
NCBITaxon:246787	Bacteroides cellulosilyticus	biolink:OrganismTaxon	NA
NCBITaxon:363265	Leyella stercorea	biolink:OrganismTaxon	NA
NCBITaxon:46506	Bacteroides stercoris	biolink:OrganismTaxon	NA
NCBITaxon:437898	Sutterella parvirubra	biolink:OrganismTaxon	NA
NCBITaxon:1305	Streptococcus sanguinis	biolink:OrganismTaxon	NA
NCBITaxon:1150298	Fusicatenibacter saccharivorans	biolink:OrganismTaxon	NA
NCBITaxon:394340	Adlercreutzia equolifaciens subsp. celatus	biolink:OrganismTaxon	NA
NCBITaxon:850	Fusobacterium mortiferum	biolink:OrganismTaxon	NA
NCBITaxon:35833	Bilophila wadsworthia	biolink:OrganismTaxon	NA
NCBITaxon:310297	Phocaeicola plebeius	biolink:OrganismTaxon	NA
NCBITaxon:204516	Phocaeicola massiliensis	biolink:OrganismTaxon	NA
NCBITaxon:446660	Adlercreutzia equolifaciens	biolink:OrganismTaxon	NA
NCBITaxon:1304	Streptococcus salivarius	biolink:OrganismTaxon	NA
NCBITaxon:1262792	Clostridium sp. CAG:299	biolink:OrganismTaxon	NA
NCBITaxon:1720294	Eisenbergiella massiliensis	biolink:OrganismTaxon	NA
NCBITaxon:100884	Coprobacillus cateniformis	biolink:OrganismTaxon	NA
NCBITaxon:818	Bacteroides thetaiotaomicron	biolink:OrganismTaxon	NA
NCBITaxon:901	Desulfovibrio piger	biolink:OrganismTaxon	NA
NCBITaxon:28026	Bifidobacterium pseudocatenulatum	biolink:OrganismTaxon	NA
NCBITaxon:169435	Anaerotruncus colihominis	biolink:OrganismTaxon	NA
NCBITaxon:1759399	Streptococcus sp. A12	biolink:OrganismTaxon	NA
NCBITaxon:630129	Bifidobacterium catenulatum subsp. kashiwanohense	biolink:OrganismTaxon	NA
NCBITaxon:84135	Gemella sanguinis	biolink:OrganismTaxon	NA
NCBITaxon:1583	Weissella confusa	biolink:OrganismTaxon	NA
NCBITaxon:322505	Sharpea azabuensis	biolink:OrganismTaxon	NA
NCBITaxon:1343	Streptococcus vestibularis	biolink:OrganismTaxon	NA
NCBITaxon:208479	Enterocloster bolteae	biolink:OrganismTaxon	NA
NCBITaxon:1262886	Eubacterium sp. CAG:251	biolink:OrganismTaxon	NA
MESH:D034364	Streptococcus milleri Group	biolink:OrganismTaxon	NA
NCBITaxon:291645	Bacteroides nordii	biolink:OrganismTaxon	NA
NCBITaxon:856	Fusobacterium varium	biolink:OrganismTaxon	NA
NCBITaxon:39485	Lachnospira eligens	biolink:OrganismTaxon	NA
NCBITaxon:1628085	Agathobaculum butyriciproducens	biolink:OrganismTaxon	NA
NCBITaxon:1660	Schaalia odontolytica	biolink:OrganismTaxon	NA
NCBITaxon:68892	Streptococcus infantis	biolink:OrganismTaxon	NA
NCBITaxon:43675	Rothia mucilaginosa	biolink:OrganismTaxon	NA
NCBITaxon:357276	Phocaeicola dorei	biolink:OrganismTaxon	NA
NCBITaxon:187326	Megasphaera micronuciformis	biolink:OrganismTaxon	NA
UMLS:C0317501	Eubacterium siraeum	biolink:OrganismTaxon	NA
NCBITaxon:1263000	Firmicutes bacterium CAG:110	biolink:OrganismTaxon	NA
NCBITaxon:39488	Anaerobutyricum hallii	biolink:OrganismTaxon	NA
MESH:D034363	Viridans Streptococci	biolink:OrganismTaxon	NA
NCBITaxon:329854	Bacteroides intestinalis	biolink:OrganismTaxon	NA
NCBITaxon:999425	Streptococcus sp. F0442	biolink:OrganismTaxon	NA
NCBITaxon:1262882	Eubacterium sp. CAG:180	biolink:OrganismTaxon	NA
UMLS:C0317478	Agathobacter rectalis	biolink:OrganismTaxon	NA
NCBITaxon:216816	Bifidobacterium longum	biolink:OrganismTaxon	NA
NCBITaxon:28037	Streptococcus mitis	biolink:OrganismTaxon	NA
NCBITaxon:40518	Ruminococcus bromii	biolink:OrganismTaxon	NA
NCBITaxon:154288	Turicibacter sanguinis	biolink:OrganismTaxon	NA
NCBITaxon:626940	Phascolarctobacterium succinatutens	biolink:OrganismTaxon	NA
NCBITaxon:333367	Enterocloster asparagiformis	biolink:OrganismTaxon	NA
